City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Port Blair,IN,11.6667,92.75,80.64,94,40,2.3,mist
315,Zhuhai,CN,22.2769,113.5678,82.85,94,40,10.36,scattered clouds
316,Moree,AU,-29.4667,149.85,64.42,77,100,9.22,overcast clouds
317,Constantine,DZ,36.365,6.6147,63.81,67,75,9.22,broken clouds
318,Marzuq,YE,14.4,46.4667,74.71,60,4,7.09,clear sky
319,Guerrero Negro,MX,27.9769,-114.0611,70.66,51,0,16.78,clear sky
320,Fairbanks,US,64.8378,-147.7164,50.0,40,0,5.75,clear sky
321,Beringovskiy,RU,63.05,179.3167,31.78,99,100,5.19,overcast clouds
322,Police,PL,53.5521,14.5718,46.67,84,7,5.23,clear sky
323,Mogadishu,SO,2.0371,45.3438,83.66,74,100,11.72,overcast clouds
324,Mount Gambier,AU,-37.8333,140.7667,58.91,94,75,5.75,broken clouds
325,Nouadhibou,MR,20.931,-17.0347,67.98,77,0,19.57,clear sky
326,Adrar,MR,20.5022,-10.0711,77.43,14,0,9.26,clear sky
327,Lagoa,PT,39.05,-27.9833,62.08,91,100,32.12,overcast clouds
328,Ugoofaaru,MV,5.6667,73.0,84.16,72,100,2.33,overcast clouds
329,Necochea,AR,-38.5473,-58.7368,60.12,48,0,8.84,clear sky
330,Flin Flon,CA,54.7682,-101.865,42.64,39,40,11.5,scattered clouds
331,Dongsheng,CN,39.8161,109.9776,38.89,81,75,6.22,broken clouds
332,Balkanabat,TM,39.5108,54.3671,74.19,36,51,6.35,broken clouds
333,Pangody,RU,65.85,74.4859,26.28,87,96,8.3,overcast clouds
334,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,93,100,15.28,overcast clouds
335,Mweka,CD,-4.85,21.5667,68.05,98,98,2.37,overcast clouds
336,Orlik,RU,52.5178,99.825,27.3,92,100,2.68,light snow
337,Beloomut,RU,54.9448,39.3394,39.0,88,25,9.28,scattered clouds
338,Bethel,US,41.3712,-73.414,54.01,49,100,16.11,overcast clouds
339,Union,US,40.6334,-74.2663,54.91,41,100,13.8,overcast clouds
340,Shingu,JP,33.7333,135.9833,65.17,91,100,3.65,overcast clouds
341,Somcuta Mare,RO,47.5167,23.4667,56.39,71,75,5.75,broken clouds
342,Broome,US,42.2506,-75.833,40.89,64,100,14.97,overcast clouds
343,Lebu,CL,-37.6167,-73.65,54.72,61,39,10.22,scattered clouds
344,Clermont,FR,49.5,2.4167,56.71,67,99,13.09,overcast clouds
345,Zabol,AF,32.25,67.25,69.51,16,78,6.17,broken clouds
346,Puerto Ayacucho,VE,5.6639,-67.6236,82.29,75,87,5.48,overcast clouds
347,Katidtuan,PH,7.1886,124.3153,74.53,94,91,3.27,overcast clouds
